urlGuia,idNormas,pregunta,respuesta
acceso-a-playas-rios-y-lagos,1126481;172986;1128900;6778,"¿Se puede solicitar vías de acceso al propietario de un terreno o casa que está junto a la playa, río o lago para poder llegar a ésta?","Si usted quiere ir a la playa con fines turísticos o de pesca, y no existen vías o caminos públicos para poder llegar a ella, los dueños de los terrenos deben facilitar su acceso de forma gratuita. Tal derecho está amparado en el artículo 13 de la Decreto Ley N° 1.939 , de 1977. La fijación de las vías de acceso corresponde al Intendente, previa audiencia de los propietarios, arrendatarios o   tenedores del terreno. Si no asisten o no se llega a acuerdo, el Intendente debe determinarla prudencialmente, evitando causar daños innecesarios. Sin perjuicio, los afectados podrán oponerse a lo que decida el Intendente concurriendo a los Tribunales Ordinarios."
accidentes-de-transito-responsabilidad-del-conductor-ley-emilia,220208;29859;1037847;1066775;1007469,¿Qué está obligado a hacer un conductor involucrado en un accidente de tránsito en que se produzcan lesiones o la muerte de una persona?,"En todo accidente del tránsito en que se produzcan lesiones o muerte de alguna persona, el conductor que participe en los hechos estará obligado a detener su marcha, prestar la ayuda que fuese posible y dar cuenta a cualquier funcionario de Carabineros que estuviere próximo al lugar del hecho, para los efectos de la denuncia judicial."
accidentes-del-trabajo,74448;244308;1102293;1060454;28650;9231,¿Qué se entiende por accidente del trabajo?,"Se reconoce como accidente laboral toda lesión que sufre una persona a causa o con ocasión de su trabajo y que le produzca lesiones de incapacidad o muerte. Éstos pueden ocurrir en actividades gremiales, de capacitación ocupacional o en el desarrollo de cualquier actividad en el ámbito del trabajo. También se incluyen los accidentes que ocurran en el trayecto de ida o regreso al lugar de faena o trabajo. El trayecto entre dos lugares de trabajo también se considera accidente del laboral. En tal caso se estima que el incidente dice relación con el trabajo, obra o faena al que se dirigía la persona. También se cubre como accidente del trabajo, los daños físicos o síquicos que sufran los trabajadores de empresas, entidades y establecimientos que sean objeto de delitos como robos o asaltos. Se exceptúan los accidentes debidos a fuerza mayor que no tenga relación alguna con el trabajo y los producidos intencionalmente por la víctima."
acoso-sexual,236425;207436,¿Qué es el acoso sexual?,"Los requerimientos de carácter sexual que un hombre o una mujer realizan  a otra persona, sin su consentimiento, y que   amenazan  o perjudican su situación laboral u oportunidades en el empleo."
acoso-laboral,236425;207436;1042709,¿Qué es acoso laboral?,"Acoso laboral es toda conducta que constituya agresión u hostigamiento reiterados, ejercida por el empleador o por uno o más trabajadores, en contra de otro u otros trabajadores, por cualquier medio, y que tenga como resultado para el o los afectados su menoscabo, maltrato o humillación, o bien que amenace o perjudique su situación laboral o sus oportunidades en el empleo. El acoso laboral se incorpora al Código del Trabajo como un acto contrario a los principios de las leyes laborales y a la dignidad de la persona."
acoso-sexual-academico,236425;1165023,¿Qué personas considera la ley que pueden realizar o bien ser  destinatarias de acoso sexual académico?,"Personas que cursen programas de pre y posgrado. Personas que desarrollen funciones de docencia, administración, investigación o cualquier otra función relacionada con las instituciones de educación superior."
acoso-sexual-callejero,1984;236425;1131140,¿Cómo define la ley el acoso sexual callejero?,"La ley señala que comete acoso sexual el que realiza un acto de significación sexual capaz de provocar una situación objetivamente intimidatoria, hostil o humillante a la víctima, en lugares públicos o de libre acceso público, y sin mediar el consentimiento de la persona afectada."
acoso-sexual-de-menores-y-pornografia-infantil-por-internet,1984;1053666;176595;1028636,¿Qué delitos relacionados con la pornografía infantil castiga la ley?,"La persona que participa en la producción de material pornográfico en que hayan sido utilizados menores de dieciocho años será sancionada con presidio menor en su grado medio a máximo (tres años y un día a cinco años). El que para procurar su excitación sexual o la excitación sexual de otro, realiza acciones de significación sexual ante una persona menor de catorce años, la hiciere ver o escuchar material pornográfico o presenciar espectáculos del mismo carácter, será también castigado con presidio menor en su grado medio a máximo (tres años y un día a cinco años). También hay delito si para procurar su excitación sexual o la excitación sexual de otro, alguien hace que un menor de catorce años realice acciones de significación sexual delante suyo o de otro. Esa figura se extiende si se hace que el niño o niña envíe, entregue o exhiba imágenes o grabaciones de su persona o de otro menor de 14 años de edad, con significación sexual. La pena en estos casos será presidio menor en su grado máximo."
acuerdo-de-union-civil,1075210;1002564;229557,¿Las personas adquieren otro estado civil cuando firman el Acuerdo de Unión Civil?,"Si, la celebración de este acuerdo confiere a los convivientes el estado civil de conviviente civil."
adopcion,140084;229557;161518;144668,¿Qué se entiende por adopción?,"El acto de recibir legalmente como propio a un hijo que biológicamente no lo es, para brindarle el afecto y los cuidados necesarios para satisfacer sus necesidades espirituales y materiales."
